"Player","Team","Season","Position","Base Salary","Guaranteed Compensation","Date"
"Allan Cruz","CIN","2019","M","300000","333125","2019-09-13"
"Justin Morrow","TOR","2019","D","330000","330000","2019-09-13"
"Przemyslaw Tyton","CIN","2019","GK","231750","328438","2019-09-13"
"Sean Davis","NYRB","2019","M","300000","327500","2019-09-13"
"Kelyn Rowe","RSL","2019","M","261399.96","326399.96","2019-09-13"
"Kyle Beckerman","RSL","2019","D","300000","325000","2019-09-13"
"Florentin Pogba","ATL","2019","D","300000","324000","2019-09-13"
"Nick Rimando","RSL","2019","GK","300000","322500","2019-09-13"
"Milton Valenzuela","CLB","2019","D","290000.04","321300.04","2019-09-13"
"Harold Cummings","SJE","2019","D","270000","320666.67","2019-09-13"
"Nicolás Mezquida","COL","2019","F","320000.04","320000.04","2019-09-13"
"Michael Boxall","MIN","2019","D","300000","317333.33","2019-09-13"
"Sebastian Lletget","LAG","2019","M","300000","312666.67","2019-09-13"
"Anthony Blondell","VAN","2019","F","262500","307703.25","2019-09-13"
"Erickson Gallardo","TOR","2019","M","275004","306916.6","2019-09-13"
"Mathias Jørgensen","NYRB","2019","F","275000.04","306250.04","2019-09-13"
"Judson","SJE","2019","D","300000","305000","2019-09-13"
"Adam Lundkvist","HOU","2019","D","274999.92","303749.92","2019-09-13"
"Lassi Lappalainen","MTL","2019","M","302574","302574","2019-09-13"
"Rasmus Schüller","MIN","2019","M","275004","300004","2019-09-13"
"Michael Parkhurst","ATL","2019","D","300000","300000","2019-09-13"
"Franco Escobar","ATL","2019","D","300000","300000","2019-09-13"
"Eric Remedi","ATL","2019","D","300000","300000","2019-09-13"
"Luis Caicedo","NER","2019","D","300000","300000","2019-09-13"
"Frédéric Brillant","DCU","2019","D","264999.96","299999.96","2019-09-13"
"Rod Fanni","MTL","2019","D","299250","299250","2019-09-13"
"Lucas Rodríguez","DCU","2019","M","261999.96","298549.86","2019-09-13"
"Steven Beitashour","LAFC","2019","D","275000.04","298375.04","2019-09-13"
"Botond Baráth","SKC","2019","D","250000.08","297333.41","2019-09-13"
"Eriq Zavaleta","TOR","2019","D","275004","296962.33","2019-09-13"
"Evan Bush","MTL","2019","GK","232000.08","294666.75","2019-09-13"
"José Bizama","HOU","2019","D","243636","292427.18","2019-09-13"
"Juan David Cabezas","HOU","2019","D","268008","292008","2019-09-13"
"Jukka Raitala","MTL","2019","D","250000.08","290500.08","2019-09-13"
"Robin Jansson","ORL","2019","D","261000","289800","2019-09-13"
"Cristhian Paredes","POR","2019","M","252000","283500","2019-09-13"
"Francois Affolter","SJE","2019","D","249999.96","281999.96","2019-09-13"
"Emmanuel Ledesma","CIN","2019","M","249999.96","280833.29","2019-09-13"
"Kacper Przybylko","PHI","2019","F","240000","277000","2019-09-13"
"Auro","TOR","2019","D","225000","276666.67","2019-09-13"
"DaMarcus Beasley","HOU","2019","D","275000.04","275000.04","2019-09-13"
"Gary Mackay-Steven","NYC","2019","M","260000.04","274833.37","2019-09-13"
"Valentín Castellanos","NYC","2019","M","249999.96","274806.41","2019-09-13"
"Wilfried Moimbé","MIN","2019","D","252000","274275","2019-09-13"
"Joaquín Ardáiz","VAN","2019","F","272727.12","272727.12","2019-09-13"
"Teal Bunbury","NER","2019","F","225750","270750","2019-09-13"
"Eric Alexander","FCD","2019","M","270000","270000","2019-09-13"
"Greg Garza","CIN","2019","D","270000","270000","2019-09-13"
"Jack Elliott","PHI","2019","D","250000.08","265000.08","2019-09-13"
"Jonathan Bornstein","CHI","2019","D","240000","263200","2019-09-13"
"João Pedro","LAG","2019","M","240000","261000","2019-09-13"
"Patrick Mullins","TOR","2019","F","260004","260004","2019-09-13"
